id,unstable_prob,stable_prob
TEST_0001,0.060791015625,0.939208984375
TEST_0002,0.9473114013671875,0.0526885986328125
TEST_0003,0.9476165771484375,0.0523834228515625
TEST_0004,0.9446640014648438,0.05533599853515625
TEST_0005,0.078369140625,0.921630859375
TEST_0006,0.9433746337890625,0.0566253662109375
TEST_0007,0.0614013671875,0.9385986328125
TEST_0008,0.9069976806640625,0.0930023193359375
TEST_0009,0.9258880615234375,0.0741119384765625
TEST_0010,0.056396484375,0.943603515625
TEST_0011,0.51275634765625,0.48724365234375
TEST_0012,0.0496826171875,0.9503173828125
TEST_0013,0.920867919921875,0.079132080078125
TEST_0014,0.693115234375,0.306884765625
TEST_0015,0.95428466796875,0.04571533203125
TEST_0016,0.9529190063476562,0.04708099365234375
TEST_0017,0.1265869140625,0.8734130859375
TEST_0018,0.594757080078125,0.405242919921875
TEST_0019,0.945892333984375,0.054107666015625
TEST_0020,0.070068359375,0.929931640625
TEST_0021,0.93743896484375,0.06256103515625
TEST_0022,0.0596923828125,0.9403076171875
TEST_0023,0.1385498046875,0.8614501953125
TEST_0024,0.9490127563476562,0.05098724365234375
TEST_0025,0.1361083984375,0.8638916015625
TEST_0026,0.049560546875,0.950439453125
TEST_0027,0.0633544921875,0.9366455078125
TEST_0028,0.9514236450195312,0.04857635498046875
TEST_0029,0.9458999633789062,0.05410003662109375
TEST_0030,0.9500503540039062,0.04994964599609375
TEST_0031,0.0467529296875,0.9532470703125
TEST_0032,0.1861572265625,0.8138427734375
TEST_0033,0.06494140625,0.93505859375
TEST_0034,0.8957672119140625,0.1042327880859375
TEST_0035,0.0567626953125,0.9432373046875
TEST_0036,0.080322265625,0.919677734375
TEST_0037,0.9506072998046875,0.0493927001953125
TEST_0038,0.923065185546875,0.076934814453125
TEST_0039,0.1817626953125,0.8182373046875
TEST_0040,0.068359375,0.931640625
TEST_0041,0.0657958984375,0.9342041015625
TEST_0042,0.055419921875,0.944580078125
TEST_0043,0.05322265625,0.94677734375
TEST_0044,0.811492919921875,0.188507080078125
TEST_0045,0.123291015625,0.876708984375
TEST_0046,0.057861328125,0.942138671875
TEST_0047,0.3172607421875,0.6827392578125
TEST_0048,0.085693359375,0.914306640625
TEST_0049,0.0789794921875,0.9210205078125
TEST_0050,0.9424819946289062,0.05751800537109375
TEST_0051,0.9349288940429688,0.06507110595703125
TEST_0052,0.9441757202148438,0.05582427978515625
