id,unstable_prob,stable_prob
TEST_0001,0.000732421875,0.999267578125
TEST_0002,0.9994977116584778,0.0005022883415222168
TEST_0003,0.9995972514152527,0.00040274858474731445
TEST_0004,0.9995826482772827,0.00041735172271728516
TEST_0005,0.001220703125,0.998779296875
TEST_0006,0.9996416568756104,0.00035834312438964844
TEST_0007,0.001220703125,0.998779296875
TEST_0008,0.996625542640686,0.003374457359313965
TEST_0009,0.997456431388855,0.0025435686111450195
TEST_0010,0.000732421875,0.999267578125
TEST_0011,0.9138517379760742,0.08614826202392578
TEST_0012,0.00048828125,0.99951171875
TEST_0013,0.9988113641738892,0.0011886358261108398
TEST_0014,0.927094578742981,0.07290542125701904
TEST_0015,0.9997051358222961,0.0002948641777038574
TEST_0016,0.9996985793113708,0.0003014206886291504
TEST_0017,0.0362548828125,0.9637451171875
TEST_0018,0.8467879295349121,0.1532120704650879
TEST_0019,0.9993448257446289,0.0006551742553710938
TEST_0020,0.0023193359375,0.9976806640625
TEST_0021,0.9972985982894897,0.002701401710510254
TEST_0022,0.0009765625,0.9990234375
TEST_0023,0.000732421875,0.999267578125
TEST_0024,0.9996495842933655,0.0003504157066345215
TEST_0025,0.011474609375,0.988525390625
TEST_0026,0.00048828125,0.99951171875
TEST_0027,0.0013427734375,0.9986572265625
TEST_0028,0.9996359944343567,0.00036400556564331055
TEST_0029,0.9995713829994202,0.000428617000579834
TEST_0030,0.9997313618659973,0.00026863813400268555
TEST_0031,0.000732421875,0.999267578125
TEST_0032,0.017578125,0.982421875
TEST_0033,0.0006103515625,0.9993896484375
TEST_0034,0.9956042766571045,0.004395723342895508
TEST_0035,0.000732421875,0.999267578125
TEST_0036,0.001220703125,0.998779296875
TEST_0037,0.9992856979370117,0.0007143020629882812
TEST_0038,0.9975754618644714,0.0024245381355285645
TEST_0039,0.6327705383300781,0.3672294616699219
TEST_0040,0.0009765625,0.9990234375
TEST_0041,0.000732421875,0.999267578125
TEST_0042,0.0009765625,0.9990234375
TEST_0043,0.0003662109375,0.9996337890625
TEST_0044,0.9539737701416016,0.04602622985839844
TEST_0045,0.00146484375,0.99853515625
TEST_0046,0.000732421875,0.999267578125
TEST_0047,0.418365478515625,0.581634521484375
TEST_0048,0.00048828125,0.99951171875
TEST_0049,0.0015869140625,0.9984130859375
TEST_0050,0.9986557960510254,0.0013442039489746094
TEST_0051,0.9993100166320801,0.0006899833679199219
TEST_0052,0.9995571970939636,0.00044280290603637695
TEST_0053,0.000732421875,0.999267578125
TEST_0054,0.998380720615387,0.0016192793846130371
TEST_0055,0.0009765625,0.9990234375
TEST_0056,0.00048828125,0.99951171875
TEST_0057,0.9903259873390198,0.009674012660980225
TEST_0058,0.009033203125,0.990966796875
TEST_0059,0.00146484375,0.99853515625
TEST_0060,0.9972846508026123,0.0027153491973876953
TEST_0061,0.0006103515625,0.9993896484375
TEST_0062,0.016357421875,0.983642578125
TEST_0063,0.9920477867126465,0.007952213287353516
TEST_0064,0.0009765625,0.9990234375
TEST_0065,0.9975510835647583,0.0024489164352416992
TEST_0066,0.9975151419639587,0.0024848580360412598
TEST_0067,0.9912908673286438,0.008709132671356201
TEST_0068,0.9988099932670593,0.0011900067329406738
TEST_0069,0.0013427734375,0.9986572265625
TEST_0070,0.9921679496765137,0.007832050323486328
TEST_0071,0.0008544921875,0.9991455078125
TEST_0072,0.9989380836486816,0.0010619163513183594
TEST_0073,0.9893157482147217,0.01068425178527832
TEST_0074,0.9024964570999146,0.09750354290008545
TEST_0075,0.0235595703125,0.9764404296875
TEST_0076,0.0625,0.9375
TEST_0077,0.9882473945617676,0.011752605438232422
TEST_0078,0.00146484375,0.99853515625
TEST_0079,0.997402548789978,0.0025974512100219727
TEST_0080,0.0009765625,0.9990234375
TEST_0081,0.8730592727661133,0.12694072723388672
TEST_0082,0.001708984375,0.998291015625
TEST_0083,0.000732421875,0.999267578125
TEST_0084,0.001708984375,0.998291015625
TEST_0085,0.0008544921875,0.9991455078125
TEST_0086,0.9993779063224792,0.000622093677520752
TEST_0087,0.9995774626731873,0.00042253732681274414
TEST_0088,0.9973577260971069,0.0026422739028930664
TEST_0089,0.9951555132865906,0.004844486713409424
